,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
285,6416438,North Carolina,,Some college,Married,"$50,000 - $59,999",Donald Trump
286,6418754,California,,4-year,Widowed,"$60,000 - $69,999",Gary Johnson
287,6419111,California,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
288,6419432,Oregon,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
289,6420122,California,,4-year,Married,"$150,000 - $199,999",Donald Trump
290,6420962,Nevada,,4-year,Single,"$50,000 - $59,999",Donald Trump
291,6421214,Colorado,,4-year,Divorced,"$150,000 - $199,999",Donald Trump
292,6428831,Michigan,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
293,6429641,Kentucky,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
294,6429842,Minnesota,,Post-grad,Married,"$60,000 - $69,999",Donald Trump
295,6430100,Oregon,,High school graduate,Married,Prefer not to say,Hillary Clinton
296,6431615,Michigan,,Post-grad,Married,"$350,000 - $499,999",Donald Trump
297,6432962,California,,Some college,Married,Prefer not to say,Donald Trump
298,6433022,California,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
299,6435506,Montana,,4-year,Divorced,"$40,000 - $49,999",Donald Trump
300,6439925,Wisconsin,,2-year,Married,"$80,000 - $99,999",Donald Trump
301,6440513,Oregon,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
302,6442295,Ohio,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
303,6442748,Tennessee,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
304,6443261,New York,,Some college,Married,"$60,000 - $69,999",Donald Trump
305,6444770,Indiana,,2-year,Married,"$80,000 - $99,999",Donald Trump
306,6444905,New York,,Some college,Married,Prefer not to say,Donald Trump
307,6447599,Florida,,4-year,Married,Prefer not to say,Donald Trump
308,6453008,Minnesota,,4-year,Married,Prefer not to say,Hillary Clinton
309,6456005,Missouri,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
310,6460793,Illinois,,High school graduate,Married,"$150,000 - $199,999",Gary Johnson
311,6462023,New York,,High school graduate,Widowed,"$50,000 - $59,999",Donald Trump
312,6464678,Texas,,4-year,Divorced,Prefer not to say,Donald Trump
313,6466028,Louisiana,,Post-grad,Single,Prefer not to say,Donald Trump
314,6467498,Wisconsin,,Some college,Married,"$200,000 - $249,999",Donald Trump
315,6469808,Virginia,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
316,6474713,Virginia,,Some college,Married,"$100,000 - $119,999",Hillary Clinton
317,6476231,Arizona,,4-year,Single,"$200,000 - $249,999",Gary Johnson
318,6476726,Florida,,2-year,Married,"$150,000 - $199,999",Donald Trump
319,6478346,North Dakota,,High school graduate,Single,"$40,000 - $49,999",Donald Trump
320,6483362,Texas,,4-year,Married,Prefer not to say,Hillary Clinton
321,6484904,Pennsylvania,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
322,6485570,Michigan,,Some college,Married,"$30,000 - $39,999",Donald Trump
